UBIGEO;PROVINCIA;DISTRITO;N° EVALUADOS;N° NIÑOS CON ANEMIA;AÑO;ZONAS
8;Huamanga;Acos Vinchos;32;9;2023;Zona Norte
8;Huamanga;Acos Vinchos;32;9;2023;Zona Sur
8;Huamanga;Acos Vinchos;31;9;2023;Zona Este
8;Huamanga;Acos Vinchos;31;9;2023;Zona Oeste
8;Huamanga;Acos Vinchos;31;9;2023;Zona Centro
8;Huamanga;Acos Vinchos;31;9;2023;Zona Noreste
8;Huamanga;Acos Vinchos;31;8;2023;Zona Noroeste
8;Huamanga;Acos Vinchos;31;8;2023;Zona Sureste
8;Huamanga;Acos Vinchos;31;8;2023;Zona Suroeste
9;Huamanga;Andres Avelino Caceres Dorregaray;124;49;2023;Zona Norte
9;Huamanga;Andres Avelino Caceres Dorregaray;124;49;2023;Zona Sur
9;Huamanga;Andres Avelino Caceres Dorregaray;124;48;2023;Zona Este
9;Huamanga;Andres Avelino Caceres Dorregaray;124;48;2023;Zona Oeste
9;Huamanga;Andres Avelino Caceres Dorregaray;124;48;2023;Zona Centro
9;Huamanga;Andres Avelino Caceres Dorregaray;124;48;2023;Zona Noreste
9;Huamanga;Andres Avelino Caceres Dorregaray;123;48;2023;Zona Noroeste
9;Huamanga;Andres Avelino Caceres Dorregaray;123;48;2023;Zona Sureste
9;Huamanga;Andres Avelino Caceres Dorregaray;123;48;2023;Zona Suroeste
10;Huamanga;Huamanga;366;137;2023;Zona Norte
10;Huamanga;Huamanga;365;137;2023;Zona Sur
10;Huamanga;Huamanga;365;137;2023;Zona Este
10;Huamanga;Huamanga;365;137;2023;Zona Oeste
10;Huamanga;Huamanga;365;137;2023;Zona Centro
10;Huamanga;Huamanga;365;137;2023;Zona Noreste
10;Huamanga;Huamanga;365;137;2023;Zona Noroeste
10;Huamanga;Huamanga;365;136;2023;Zona Sureste
10;Huamanga;Huamanga;365;136;2023;Zona Suroeste
11;Huamanga;Carmen Alto;140;54;2023;Zona Norte
11;Huamanga;Carmen Alto;140;54;2023;Zona Sur
11;Huamanga;Carmen Alto;140;54;2023;Zona Este
11;Huamanga;Carmen Alto;140;53;2023;Zona Oeste
11;Huamanga;Carmen Alto;140;53;2023;Zona Centro
11;Huamanga;Carmen Alto;140;53;2023;Zona Noreste
11;Huamanga;Carmen Alto;140;53;2023;Zona Noroeste
11;Huamanga;Carmen Alto;140;53;2023;Zona Sureste
11;Huamanga;Carmen Alto;140;53;2023;Zona Suroeste
12;Huamanga;Chiara;26;13;2023;Zona Norte
12;Huamanga;Chiara;26;13;2023;Zona Sur
12;Huamanga;Chiara;26;12;2023;Zona Este
12;Huamanga;Chiara;26;12;2023;Zona Oeste
12;Huamanga;Chiara;26;12;2023;Zona Centro
12;Huamanga;Chiara;26;12;2023;Zona Noreste
12;Huamanga;Chiara;26;12;2023;Zona Noroeste
12;Huamanga;Chiara;25;12;2023;Zona Sureste
12;Huamanga;Chiara;25;12;2023;Zona Suroeste
13;Huamanga;Jesus Nazareno;100;54;2023;Zona Norte
13;Huamanga;Jesus Nazareno;100;54;2023;Zona Sur
13;Huamanga;Jesus Nazareno;100;54;2023;Zona Este
13;Huamanga;Jesus Nazareno;100;54;2023;Zona Oeste
13;Huamanga;Jesus Nazareno;100;54;2023;Zona Centro
13;Huamanga;Jesus Nazareno;99;54;2023;Zona Noreste
13;Huamanga;Jesus Nazareno;99;53;2023;Zona Noroeste
13;Huamanga;Jesus Nazareno;99;53;2023;Zona Sureste
13;Huamanga;Jesus Nazareno;99;53;2023;Zona Suroeste
14;Huamanga;Ocros;27;10;2023;Zona Norte
14;Huamanga;Ocros;27;10;2023;Zona Sur
14;Huamanga;Ocros;27;10;2023;Zona Este
14;Huamanga;Ocros;27;10;2023;Zona Oeste
14;Huamanga;Ocros;27;10;2023;Zona Centro
14;Huamanga;Ocros;27;10;2023;Zona Noreste
14;Huamanga;Ocros;27;10;2023;Zona Noroeste
14;Huamanga;Ocros;26;10;2023;Zona Sureste
14;Huamanga;Ocros;26;10;2023;Zona Suroeste
15;Huamanga;Pacaycasa;13;3;2023;Zona Norte
15;Huamanga;Pacaycasa;13;3;2023;Zona Sur
15;Huamanga;Pacaycasa;13;3;2023;Zona Este
15;Huamanga;Pacaycasa;13;3;2023;Zona Oeste
15;Huamanga;Pacaycasa;13;3;2023;Zona Centro
15;Huamanga;Pacaycasa;13;2;2023;Zona Noreste
15;Huamanga;Pacaycasa;12;2;2023;Zona Noroeste
15;Huamanga;Pacaycasa;12;2;2023;Zona Sureste
15;Huamanga;Pacaycasa;12;2;2023;Zona Suroeste
16;Huamanga;Quinua;19;13;2023;Zona Norte
16;Huamanga;Quinua;19;13;2023;Zona Sur
16;Huamanga;Quinua;19;13;2023;Zona Este
16;Huamanga;Quinua;19;13;2023;Zona Oeste
16;Huamanga;Quinua;18;12;2023;Zona Centro
16;Huamanga;Quinua;18;12;2023;Zona Noreste
16;Huamanga;Quinua;18;12;2023;Zona Noroeste
16;Huamanga;Quinua;18;12;2023;Zona Sureste
16;Huamanga;Quinua;18;12;2023;Zona Suroeste
17;Huamanga;San Jose de Ticllas;6;1;2023;Zona Norte
17;Huamanga;San Jose de Ticllas;6;1;2023;Zona Sur
17;Huamanga;San Jose de Ticllas;6;0;2023;Zona Este
17;Huamanga;San Jose de Ticllas;5;0;2023;Zona Oeste
17;Huamanga;San Jose de Ticllas;5;0;2023;Zona Centro
17;Huamanga;San Jose de Ticllas;5;0;2023;Zona Noreste
17;Huamanga;San Jose de Ticllas;5;0;2023;Zona Noroeste
17;Huamanga;San Jose de Ticllas;5;0;2023;Zona Sureste
17;Huamanga;San Jose de Ticllas;5;0;2023;Zona Suroeste
18;Huamanga;San Juan Bautista;213;99;2023;Zona Norte
18;Huamanga;San Juan Bautista;213;99;2023;Zona Sur
18;Huamanga;San Juan Bautista;213;99;2023;Zona Este
18;Huamanga;San Juan Bautista;212;99;2023;Zona Oeste
18;Huamanga;San Juan Bautista;212;99;2023;Zona Centro
18;Huamanga;San Juan Bautista;212;99;2023;Zona Noreste
18;Huamanga;San Juan Bautista;212;99;2023;Zona Noroeste
18;Huamanga;San Juan Bautista;212;99;2023;Zona Sureste
18;Huamanga;San Juan Bautista;212;98;2023;Zona Suroeste
19;Huamanga;Santiago de Pischa;5;2;2023;Zona Norte
19;Huamanga;Santiago de Pischa;5;2;2023;Zona Sur
19;Huamanga;Santiago de Pischa;5;2;2023;Zona Este
19;Huamanga;Santiago de Pischa;4;2;2023;Zona Oeste
19;Huamanga;Santiago de Pischa;4;2;2023;Zona Centro
19;Huamanga;Santiago de Pischa;4;2;2023;Zona Noreste
19;Huamanga;Santiago de Pischa;4;2;2023;Zona Noroeste
19;Huamanga;Santiago de Pischa;4;2;2023;Zona Sureste
19;Huamanga;Santiago de Pischa;4;1;2023;Zona Suroeste
20;Huamanga;Socos;29;21;2023;Zona Norte
20;Huamanga;Socos;29;21;2023;Zona Sur
20;Huamanga;Socos;29;21;2023;Zona Este
20;Huamanga;Socos;29;21;2023;Zona Oeste
20;Huamanga;Socos;29;20;2023;Zona Centro
20;Huamanga;Socos;29;20;2023;Zona Noreste
20;Huamanga;Socos;29;20;2023;Zona Noroeste
20;Huamanga;Socos;29;20;2023;Zona Sureste
20;Huamanga;Socos;28;20;2023;Zona Suroeste
21;Huamanga;Tambillo;49;22;2023;Zona Norte
21;Huamanga;Tambillo;49;22;2023;Zona Sur
21;Huamanga;Tambillo;49;22;2023;Zona Este
21;Huamanga;Tambillo;49;22;2023;Zona Oeste
21;Huamanga;Tambillo;49;22;2023;Zona Centro
21;Huamanga;Tambillo;48;22;2023;Zona Noreste
21;Huamanga;Tambillo;48;22;2023;Zona Noroeste
21;Huamanga;Tambillo;48;21;2023;Zona Sureste
21;Huamanga;Tambillo;48;21;2023;Zona Suroeste
22;Huamanga;Vinchos;70;30;2023;Zona Norte
22;Huamanga;Vinchos;70;30;2023;Zona Sur
22;Huamanga;Vinchos;70;30;2023;Zona Este
22;Huamanga;Vinchos;70;30;2023;Zona Oeste
22;Huamanga;Vinchos;70;30;2023;Zona Centro
22;Huamanga;Vinchos;70;30;2023;Zona Noreste
22;Huamanga;Vinchos;70;30;2023;Zona Noroeste
22;Huamanga;Vinchos;70;30;2023;Zona Sureste
22;Huamanga;Vinchos;69;30;2023;Zona Suroeste
23;Huanca Sancos;Carapo;6;2;2023;Zona Norte
23;Huanca Sancos;Carapo;6;1;2023;Zona Sur
23;Huanca Sancos;Carapo;6;1;2023;Zona Este
23;Huanca Sancos;Carapo;5;1;2023;Zona Oeste
23;Huanca Sancos;Carapo;5;1;2023;Zona Centro
23;Huanca Sancos;Carapo;5;1;2023;Zona Noreste
23;Huanca Sancos;Carapo;5;1;2023;Zona Noroeste
23;Huanca Sancos;Carapo;5;1;2023;Zona Sureste
23;Huanca Sancos;Carapo;5;1;2023;Zona Suroeste
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Norte
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Sur
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Este
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Oeste
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Centro
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Noreste
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Noroeste
24;Huanca Sancos;Sacsamarca;4;1;2023;Zona Sureste
24;Huanca Sancos;Sacsamarca;4;0;2023;Zona Suroeste
25;Huanca Sancos;Huanca Sancos;15;7;2023;Zona Norte
25;Huanca Sancos;Huanca Sancos;15;7;2023;Zona Sur
25;Huanca Sancos;Huanca Sancos;15;7;2023;Zona Este
25;Huanca Sancos;Huanca Sancos;14;7;2023;Zona Oeste
25;Huanca Sancos;Huanca Sancos;14;6;2023;Zona Centro
25;Huanca Sancos;Huanca Sancos;14;6;2023;Zona Noreste
25;Huanca Sancos;Huanca Sancos;14;6;2023;Zona Noroeste
25;Huanca Sancos;Huanca Sancos;14;6;2023;Zona Sureste
25;Huanca Sancos;Huanca Sancos;14;6;2023;Zona Suroeste
26;Huanca Sancos;Santiago de Lucanamarca;8;1;2023;Zona Norte
26;Huanca Sancos;Santiago de Lucanamarca;8;1;2023;Zona Sur
26;Huanca Sancos;Santiago de Lucanamarca;7;1;2023;Zona Este
26;Huanca Sancos;Santiago de Lucanamarca;7;1;2023;Zona Oeste
26;Huanca Sancos;Santiago de Lucanamarca;7;1;2023;Zona Centro
26;Huanca Sancos;Santiago de Lucanamarca;7;1;2023;Zona Noreste
26;Huanca Sancos;Santiago de Lucanamarca;7;1;2023;Zona Noroeste
26;Huanca Sancos;Santiago de Lucanamarca;7;1;2023;Zona Sureste
26;Huanca Sancos;Santiago de Lucanamarca;7;1;2023;Zona Suroeste
27;Huanta;Ayahuanco;9;5;2023;Zona Norte
27;Huanta;Ayahuanco;9;5;2023;Zona Sur
27;Huanta;Ayahuanco;9;5;2023;Zona Este
27;Huanta;Ayahuanco;9;5;2023;Zona Oeste
27;Huanta;Ayahuanco;9;5;2023;Zona Centro
27;Huanta;Ayahuanco;9;5;2023;Zona Noreste
27;Huanta;Ayahuanco;9;5;2023;Zona Noroeste
27;Huanta;Ayahuanco;8;5;2023;Zona Sureste
27;Huanta;Ayahuanco;8;4;2023;Zona Suroeste
28;Huanta;Canayre;37;1;2023;Zona Norte
28;Huanta;Canayre;37;1;2023;Zona Sur
28;Huanta;Canayre;37;1;2023;Zona Este
28;Huanta;Canayre;37;1;2023;Zona Oeste
28;Huanta;Canayre;37;1;2023;Zona Centro
28;Huanta;Canayre;37;1;2023;Zona Noreste
28;Huanta;Canayre;37;0;2023;Zona Noroeste
28;Huanta;Canayre;37;0;2023;Zona Sureste
28;Huanta;Canayre;36;0;2023;Zona Suroeste
29;Huanta;Chaca;10;3;2023;Zona Norte
29;Huanta;Chaca;10;3;2023;Zona Sur
29;Huanta;Chaca;10;3;2023;Zona Este
29;Huanta;Chaca;10;3;2023;Zona Oeste
29;Huanta;Chaca;10;3;2023;Zona Centro
29;Huanta;Chaca;9;3;2023;Zona Noreste
29;Huanta;Chaca;9;2;2023;Zona Noroeste
29;Huanta;Chaca;9;2;2023;Zona Sureste
29;Huanta;Chaca;9;2;2023;Zona Suroeste
30;Huanta;Huamanguilla;16;6;2023;Zona Norte
30;Huanta;Huamanguilla;16;6;2023;Zona Sur
30;Huanta;Huamanguilla;16;6;2023;Zona Este
30;Huanta;Huamanguilla;16;6;2023;Zona Oeste
30;Huanta;Huamanguilla;16;6;2023;Zona Centro
30;Huanta;Huamanguilla;15;6;2023;Zona Noreste
30;Huanta;Huamanguilla;15;5;2023;Zona Noroeste
30;Huanta;Huamanguilla;15;5;2023;Zona Sureste
30;Huanta;Huamanguilla;15;5;2023;Zona Suroeste
31;Huanta;Huanta;172;44;2023;Zona Norte
31;Huanta;Huanta;171;44;2023;Zona Sur
31;Huanta;Huanta;171;44;2023;Zona Este
31;Huanta;Huanta;171;44;2023;Zona Oeste
31;Huanta;Huanta;171;43;2023;Zona Centro
31;Huanta;Huanta;171;43;2023;Zona Noreste
31;Huanta;Huanta;171;43;2023;Zona Noroeste
31;Huanta;Huanta;171;43;2023;Zona Sureste
31;Huanta;Huanta;171;43;2023;Zona Suroeste
32;Huanta;Iguain;13;8;2023;Zona Norte
32;Huanta;Iguain;13;8;2023;Zona Sur
32;Huanta;Iguain;13;8;2023;Zona Este
32;Huanta;Iguain;13;8;2023;Zona Oeste
32;Huanta;Iguain;13;8;2023;Zona Centro
32;Huanta;Iguain;13;7;2023;Zona Noreste
32;Huanta;Iguain;12;7;2023;Zona Noroeste
32;Huanta;Iguain;12;7;2023;Zona Sureste
32;Huanta;Iguain;12;7;2023;Zona Suroeste
33;Huanta;Llochegua;54;8;2023;Zona Norte
33;Huanta;Llochegua;54;8;2023;Zona Sur
33;Huanta;Llochegua;54;8;2023;Zona Este
33;Huanta;Llochegua;54;8;2023;Zona Oeste
33;Huanta;Llochegua;54;7;2023;Zona Centro
33;Huanta;Llochegua;54;7;2023;Zona Noreste
33;Huanta;Llochegua;54;7;2023;Zona Noroeste
33;Huanta;Llochegua;53;7;2023;Zona Sureste
33;Huanta;Llochegua;53;7;2023;Zona Suroeste
34;Huanta;Luricocha;40;15;2023;Zona Norte
34;Huanta;Luricocha;39;14;2023;Zona Sur
34;Huanta;Luricocha;39;14;2023;Zona Este
34;Huanta;Luricocha;39;14;2023;Zona Oeste
34;Huanta;Luricocha;39;14;2023;Zona Centro
34;Huanta;Luricocha;39;14;2023;Zona Noreste
34;Huanta;Luricocha;39;14;2023;Zona Noroeste
34;Huanta;Luricocha;39;14;2023;Zona Sureste
34;Huanta;Luricocha;39;14;2023;Zona Suroeste
35;Huanta;Pucacolpa;17;10;2023;Zona Norte
35;Huanta;Pucacolpa;17;10;2023;Zona Sur
35;Huanta;Pucacolpa;17;9;2023;Zona Este
35;Huanta;Pucacolpa;17;9;2023;Zona Oeste
35;Huanta;Pucacolpa;17;9;2023;Zona Centro
35;Huanta;Pucacolpa;17;9;2023;Zona Noreste
35;Huanta;Pucacolpa;16;9;2023;Zona Noroeste
35;Huanta;Pucacolpa;16;9;2023;Zona Sureste
35;Huanta;Pucacolpa;16;9;2023;Zona Suroeste
36;Huanta;Putis;1;1;2023;Zona Norte
36;Huanta;Putis;1;0;2023;Zona Sur
36;Huanta;Putis;1;0;2023;Zona Este
36;Huanta;Putis;1;0;2023;Zona Oeste
36;Huanta;Putis;1;0;2023;Zona Centro
36;Huanta;Putis;1;0;2023;Zona Noreste
36;Huanta;Putis;1;0;2023;Zona Noroeste
36;Huanta;Putis;1;0;2023;Zona Sureste
36;Huanta;Putis;1;0;2023;Zona Suroeste
37;Huanta;Santillana;18;14;2023;Zona Norte
37;Huanta;Santillana;18;14;2023;Zona Sur
37;Huanta;Santillana;18;14;2023;Zona Este
37;Huanta;Santillana;18;13;2023;Zona Oeste
37;Huanta;Santillana;18;13;2023;Zona Centro
37;Huanta;Santillana;18;13;2023;Zona Noreste
37;Huanta;Santillana;18;13;2023;Zona Noroeste
37;Huanta;Santillana;18;13;2023;Zona Sureste
37;Huanta;Santillana;17;13;2023;Zona Suroeste
38;Huanta;Sivia;54;8;2023;Zona Norte
38;Huanta;Sivia;53;8;2023;Zona Sur
38;Huanta;Sivia;53;8;2023;Zona Este
38;Huanta;Sivia;53;8;2023;Zona Oeste
38;Huanta;Sivia;53;8;2023;Zona Centro
38;Huanta;Sivia;53;8;2023;Zona Noreste
38;Huanta;Sivia;53;8;2023;Zona Noroeste
38;Huanta;Sivia;53;8;2023;Zona Sureste
38;Huanta;Sivia;53;8;2023;Zona Suroeste
39;Huanta;Uchuraccay;23;10;2023;Zona Norte
39;Huanta;Uchuraccay;23;10;2023;Zona Sur
39;Huanta;Uchuraccay;23;10;2023;Zona Este
39;Huanta;Uchuraccay;23;10;2023;Zona Oeste
39;Huanta;Uchuraccay;23;10;2023;Zona Centro
39;Huanta;Uchuraccay;22;10;2023;Zona Noreste
39;Huanta;Uchuraccay;22;10;2023;Zona Noroeste
39;Huanta;Uchuraccay;22;9;2023;Zona Sureste
39;Huanta;Uchuraccay;22;9;2023;Zona Suroeste
40;La Mar;Anchihuay;23;4;2023;Zona Norte
40;La Mar;Anchihuay;23;4;2023;Zona Sur
40;La Mar;Anchihuay;23;4;2023;Zona Este
40;La Mar;Anchihuay;23;4;2023;Zona Oeste
40;La Mar;Anchihuay;23;4;2023;Zona Centro
40;La Mar;Anchihuay;23;4;2023;Zona Noreste
40;La Mar;Anchihuay;23;4;2023;Zona Noroeste
40;La Mar;Anchihuay;22;4;2023;Zona Sureste
40;La Mar;Anchihuay;22;3;2023;Zona Suroeste
41;La Mar;Anco;31;5;2023;Zona Norte
41;La Mar;Anco;31;5;2023;Zona Sur
41;La Mar;Anco;30;5;2023;Zona Este
41;La Mar;Anco;30;5;2023;Zona Oeste
41;La Mar;Anco;30;5;2023;Zona Centro
41;La Mar;Anco;30;5;2023;Zona Noreste
41;La Mar;Anco;30;5;2023;Zona Noroeste
41;La Mar;Anco;30;5;2023;Zona Sureste
41;La Mar;Anco;30;5;2023;Zona Suroeste
42;La Mar;Ayna;40;12;2023;Zona Norte
42;La Mar;Ayna;40;12;2023;Zona Sur
42;La Mar;Ayna;40;12;2023;Zona Este
42;La Mar;Ayna;40;12;2023;Zona Oeste
42;La Mar;Ayna;40;12;2023;Zona Centro
42;La Mar;Ayna;40;12;2023;Zona Noreste
42;La Mar;Ayna;40;12;2023;Zona Noroeste
42;La Mar;Ayna;40;12;2023;Zona Sureste
42;La Mar;Ayna;39;11;2023;Zona Suroeste
43;La Mar;Chilcas;5;3;2023;Zona Norte
43;La Mar;Chilcas;5;3;2023;Zona Sur
43;La Mar;Chilcas;5;3;2023;Zona Este
43;La Mar;Chilcas;5;3;2023;Zona Oeste
43;La Mar;Chilcas;5;2;2023;Zona Centro
43;La Mar;Chilcas;4;2;2023;Zona Noreste
43;La Mar;Chilcas;4;2;2023;Zona Noroeste
43;La Mar;Chilcas;4;2;2023;Zona Sureste
43;La Mar;Chilcas;4;2;2023;Zona Suroeste
44;La Mar;Chungui;27;8;2023;Zona Norte
44;La Mar;Chungui;27;7;2023;Zona Sur
44;La Mar;Chungui;27;7;2023;Zona Este
44;La Mar;Chungui;27;7;2023;Zona Oeste
44;La Mar;Chungui;27;7;2023;Zona Centro
44;La Mar;Chungui;27;7;2023;Zona Noreste
44;La Mar;Chungui;27;7;2023;Zona Noroeste
44;La Mar;Chungui;26;7;2023;Zona Sureste
44;La Mar;Chungui;26;7;2023;Zona Suroeste
45;La Mar;Luis Carranza;8;1;2023;Zona Norte
45;La Mar;Luis Carranza;7;1;2023;Zona Sur
45;La Mar;Luis Carranza;7;1;2023;Zona Este
45;La Mar;Luis Carranza;7;1;2023;Zona Oeste
45;La Mar;Luis Carranza;7;1;2023;Zona Centro
45;La Mar;Luis Carranza;7;1;2023;Zona Noreste
45;La Mar;Luis Carranza;7;0;2023;Zona Noroeste
45;La Mar;Luis Carranza;7;0;2023;Zona Sureste
45;La Mar;Luis Carranza;7;0;2023;Zona Suroeste
46;La Mar;Ninabamba;9;2;2023;Zona Norte
46;La Mar;Ninabamba;9;2;2023;Zona Sur
46;La Mar;Ninabamba;9;2;2023;Zona Este
46;La Mar;Ninabamba;9;2;2023;Zona Oeste
46;La Mar;Ninabamba;9;2;2023;Zona Centro
46;La Mar;Ninabamba;9;1;2023;Zona Noreste
46;La Mar;Ninabamba;9;1;2023;Zona Noroeste
46;La Mar;Ninabamba;8;1;2023;Zona Sureste
46;La Mar;Ninabamba;8;1;2023;Zona Suroeste
47;La Mar;Oronccoy;2;1;2023;Zona Norte
47;La Mar;Oronccoy;2;0;2023;Zona Sur
47;La Mar;Oronccoy;1;0;2023;Zona Este
47;La Mar;Oronccoy;1;0;2023;Zona Oeste
47;La Mar;Oronccoy;1;0;2023;Zona Centro
47;La Mar;Oronccoy;1;0;2023;Zona Noreste
47;La Mar;Oronccoy;1;0;2023;Zona Noroeste
47;La Mar;Oronccoy;1;0;2023;Zona Sureste
47;La Mar;Oronccoy;1;0;2023;Zona Suroeste
48;La Mar;Patibamba;6;2;2023;Zona Norte
48;La Mar;Patibamba;6;2;2023;Zona Sur
48;La Mar;Patibamba;6;2;2023;Zona Este
48;La Mar;Patibamba;6;1;2023;Zona Oeste
48;La Mar;Patibamba;6;1;2023;Zona Centro
48;La Mar;Patibamba;6;1;2023;Zona Noreste
48;La Mar;Patibamba;6;1;2023;Zona Noroeste
48;La Mar;Patibamba;6;1;2023;Zona Sureste
48;La Mar;Patibamba;5;1;2023;Zona Suroeste
49;La Mar;Rio Magdalena;10;2;2023;Zona Norte
49;La Mar;Rio Magdalena;10;2;2023;Zona Sur
49;La Mar;Rio Magdalena;10;2;2023;Zona Este
49;La Mar;Rio Magdalena;10;2;2023;Zona Oeste
49;La Mar;Rio Magdalena;10;2;2023;Zona Centro
49;La Mar;Rio Magdalena;10;2;2023;Zona Noreste
49;La Mar;Rio Magdalena;10;2;2023;Zona Noroeste
49;La Mar;Rio Magdalena;10;1;2023;Zona Sureste
49;La Mar;Rio Magdalena;9;1;2023;Zona Suroeste
50;La Mar;Samugari;35;7;2023;Zona Norte
50;La Mar;Samugari;35;7;2023;Zona Sur
50;La Mar;Samugari;35;7;2023;Zona Este
50;La Mar;Samugari;35;7;2023;Zona Oeste
50;La Mar;Samugari;35;6;2023;Zona Centro
50;La Mar;Samugari;35;6;2023;Zona Noreste
50;La Mar;Samugari;35;6;2023;Zona Noroeste
50;La Mar;Samugari;35;6;2023;Zona Sureste
50;La Mar;Samugari;34;6;2023;Zona Suroeste
51;La Mar;La Mar;38;8;2023;Zona Norte
51;La Mar;La Mar;38;8;2023;Zona Sur
51;La Mar;La Mar;38;8;2023;Zona Este
51;La Mar;La Mar;38;8;2023;Zona Oeste
51;La Mar;La Mar;37;8;2023;Zona Centro
51;La Mar;La Mar;37;7;2023;Zona Noreste
51;La Mar;La Mar;37;7;2023;Zona Noroeste
51;La Mar;La Mar;37;7;2023;Zona Sureste
51;La Mar;La Mar;37;7;2023;Zona Suroeste
52;La Mar;Santa Rosa;61;15;2023;Zona Norte
52;La Mar;Santa Rosa;60;14;2023;Zona Sur
52;La Mar;Santa Rosa;60;14;2023;Zona Este
52;La Mar;Santa Rosa;60;14;2023;Zona Oeste
52;La Mar;Santa Rosa;60;14;2023;Zona Centro
52;La Mar;Santa Rosa;60;14;2023;Zona Noreste
52;La Mar;Santa Rosa;60;14;2023;Zona Noroeste
52;La Mar;Santa Rosa;60;14;2023;Zona Sureste
52;La Mar;Santa Rosa;60;14;2023;Zona Suroeste
53;La Mar;Tambo;56;20;2023;Zona Norte
53;La Mar;Tambo;56;20;2023;Zona Sur
53;La Mar;Tambo;56;20;2023;Zona Este
53;La Mar;Tambo;56;19;2023;Zona Oeste
53;La Mar;Tambo;56;19;2023;Zona Centro
53;La Mar;Tambo;56;19;2023;Zona Noreste
